id	CON_count	OGD_count	CON_fpkm	OGD_fpkm	log2(FC)	Pvalue	FDR	significant
TCONS_00026370	6.33333333333333	2.33333333333333	0.416666666666667	0.15	-1.47393118833241	0.0779152507994111	0.83910283942045	no
TCONS_00026743	5.66666666666667	8	0.273333333333333	0.383333333333333	0.487938046326292	0.934153650809317	1	no
TCONS_00026920	0	1.78	0.001	0.233333333333333	7.86624861111117	0.181624168788564	1	no
TCONS_00027158	0	8.63333333333333	0.001	0.06	5.90689059560852	0.0292415696717525	0.597060348134249	no
TCONS_00027170	2.96	7.31333333333333	0.12	0.303333333333333	1.33786963875638	0.377159484010884	1	no
TCONS_00027400	2.54666666666667	2.44333333333333	0.0833333333333333	0.08	-0.0588936890535679	0.787693601450822	1	no
TCONS_00027440	5.33333333333333	4	0.283333333333333	0.193333333333333	-0.55140994101013	0.453985999684085	1	no
TCONS_00027444	13.3333333333333	17.6666666666667	0.233333333333333	0.31	0.409875794163067	0.950428895453275	1	no
TCONS_00027508	33.65	28.6666666666667	0.626666666666667	0.536666666666667	-0.223671973563021	0.190146163587879	1	no
TCONS_00027509	22.35	35	0.45	0.716666666666667	0.67137725253863	0.529072749207712	1	no
TCONS_00027511	28.3333333333333	44	0.186666666666667	0.293333333333333	0.652076696579689	0.437852491935534	1	no
TCONS_00027529	5.05666666666667	9.68	0.05	0.1	1	0.522979828925007	1	no
TCONS_00027530	10.2766666666667	8.01666666666667	0.103333333333333	0.0933333333333333	-0.146841388329267	0.571880997003122	1	no
TCONS_00027531	1.33333333333333	13.9666666666667	0.0133333333333333	0.136666666666667	3.35755200461809	0.0452646080007838	0.68863928626647	no
TCONS_00027547	16.6666666666667	30	0.19	0.343333333333333	0.853610513018475	0.303958325540149	1	no
TCONS_00027616	933.333333333333	1692.66666666667	5.34	9.81333333333333	0.877903523648302	0.0275125029085834	0.59028427714762	no
TCONS_00027628	2	3.33333333333333	0.0733333333333333	0.116666666666667	0.669851398307674	0.889173355575973	1	no
TCONS_00027636	10.3333333333333	14.3333333333333	0.213333333333333	0.296666666666667	0.475733430966402	0.910298250728005	1	no
TCONS_00027726	2.33333333333333	6.33333333333333	0.0566666666666667	0.156666666666667	1.4671260104273	0.321510782413331	1	no
TCONS_00027870	25.9733333333333	23.7933333333333	1.41666666666667	1.26	-0.169076606803995	0.237933100625642	1	no
TCONS_00027871	14.0266666666667	19.54	0.433333333333333	0.593333333333333	0.453365617937943	0.916827119499465	1	no
TCONS_00027899	27.3333333333333	51.3333333333333	0.453333333333333	0.856666666666667	0.91816170794354	0.125802545079968	0.960363772557251	no
TCONS_00027920	166.333333333333	181.666666666667	2.13666666666667	2.32	0.118762949229985	0.306031217103707	1	no
TCONS_00027961	0.666666666666667	3.66666666666667	0.02	0.116666666666667	2.54432051622381	0.260360428770015	1	no
TCONS_00028049	0.956666666666667	1.12	0.0266666666666667	0.0366666666666667	0.459431618637297	1	1	no
TCONS_00028435	51.6666666666667	49	0.623333333333333	0.576666666666667	-0.11226623225091	0.17143466832852	1	no
TCONS_00028493	17.6666666666667	7.33333333333333	0.543333333333333	0.223333333333333	-1.28263896377331	0.00817729803988443	0.33278807060179	no
