Gene	RNA_log2FC	Meth_diff
MA_101803g0010	-1.00289936069992	0
MA_10180837g0010	4.61470984411521	0
MA_101812g0010	7.34281546136118	0
MA_10182170g0010	-1.34515772909401	0
MA_10183934g0010	-1.8214228835545	0
MA_10184563g0010	-1.64679071040642	0
MA_10185385g0010	-1.49483646440857	0
MA_10186551g0010	7.78722733941899	0
MA_10187060g0010	-2.62465649583239	0
MA_101873g0010	-3.56768450928932	0
MA_10187685g0010	2.27600288958321	0
MA_10188586g0010	-1.12693619357137	0
MA_10189508g0010	-4.71273964886941	0
MA_10190343g0010	2.24792751344358	0
MA_10191444g0010	-3.88609444303577	0
MA_10193025g0010	-1.14517002282217	0
MA_101930g0010	3.09310940439148	0
MA_10195746g0010	2.88879184602021	0
MA_101958g0010	-1.96092068075806	0
MA_10196428g0010	2.98205870026844	0
MA_10197498g0020	3.04077796444271	0
MA_101987g0010	-2.9866733001918	0
MA_102003g0020	-2.59343401678861	0
MA_10201487g0010	-4.30685127399283	0
MA_10204725g0010	-2.6218538781731	0
MA_10204888g0010	-1.74966929296113	0
MA_10205415g0010	-10.7758845834585	0
MA_102054g0010	-1.01307497760814	0
MA_102072g0010	3.78226394109478	0
MA_10207337g0010	2.55879730621108	0
MA_10208403g0010	3.28495883565713	0
MA_102108g0010	-1.29818346442944	0
MA_10211525g0010	-1.07878779463387	0
MA_10211598g0010	1.73845598173768	0
MA_10211971g0010	-11.4425979815276	0
MA_10212234g0010	2.52204867214025	0
MA_10212526g0010	3.18762700317577	0
MA_10212729g0010	16.1370444967882	0
MA_10213566g0010	-2.07915588734907	0
MA_10213762g0010	1.69695684280938	0
MA_102154g0010	3.44981762193733	0
MA_10215885g0010	1.36333464209139	0
MA_10217366g0010	1.41531793373223	0
MA_10217369g0010	-3.87446911791614	72.44265004004245
MA_102175g0010	1.56929979517221	0
MA_10219914g0020	1.03375914257236	0
MA_10222589g0010	-1.0991893745282	0
MA_10222604g0010	-1.32090333217761	0
MA_10223g0010	4.95419631038688	0
MA_10224291g0010	8.1189410727235	0
MA_10225201g0010	2.7045824203154	0
MA_10225303g0010	-1.27325574725731	0
MA_10226013g0010	1.5861070426621	0
MA_10226519g0010	1.90156141104206	0
MA_10226800g0010	1.23092910329094	0
MA_10227622g0010	-4.39231742277876	0
MA_10229624g0010	-1.45423538699149	0
MA_102298g0010	3.2920266091735	0
MA_102307g0010	-1.10256138841748	0
MA_10232070g0010	-10.53462712002	0
MA_10233545g0010	-1.13998362057907	0
MA_102349g0010	2.61597238280661	0
MA_10236943g0010	-1.91386741700763	0
MA_10237903g0010	-4.26701226158105	0
MA_10239006g0010	-7.17873807124862	0
MA_10239665g0010	-1.92347371397458	0
MA_102427g0010	1.05864100579854	0
MA_10243509g0010	3.91535119753421	0
MA_10243946g0010	1.69267293279206	0
MA_10244600g0010	-10.5475372289074	0
MA_1024481g0010	-1.14499362321639	0
MA_10245227g0010	8.81378119121704	0
MA_10245438g0010	1.39887922063274	0
MA_10245592g0010	4.17492568250068	0
MA_102457g0010	2.39592867633114	0
MA_10245924g0010	3.4413168240777	0
MA_10249117g0010	-1.32522192061241	0
MA_10249251g0010	-3.08528518794497	0
MA_10250029g0020	2.29865831556452	0
MA_10250077g0010	-1.3787621128873	0
MA_10253298g0010	-2.42920483120543	0
MA_10253568g0010	1.15732290740369	0
MA_102538g0010	1.90270279864509	0
MA_10254194g0010	11.323805382128	0
MA_10254503g0010	-4.6842872385248	0
MA_10255128g0010	1.79573719482845	0
MA_10255496g0010	1.93273677309532	0
MA_10255537g0010	-1.07038932789139	0
MA_10260361g0010	-1.42255285769177	0
MA_10262473g0010	-1.30799499233644	0
MA_10263488g0010	-2.91437452913231	0
MA_10265000g0010	-3.96771327033802	0
