Gene	LA	SB	DS	DH
Unigene82764	0.4846	0.0709333333333333	0.0328	0.0473666666666667
Unigene1323397	0	0	0.0082	1.74523333333333
Unigene177527	0.0298333333333333	10.5111666666667	0	0
Unigene392617	0.00993333333333333	1.73156666666667	0	0
Unigene907969	0	0	0	21.3466
Unigene906367	0	0	0.0131333333333333	3.5551
Unigene1047762	0	0	0.317433333333333	6.89216666666667
Unigene28447	7.55986666666667	1.15733333333333	9.56223333333333	11.2576666666667
Unigene929499	0	0	0	3.0413
Unigene244743	0.105266666666667	2.0677	0.0633333333333333	0
Unigene245312	0	0.306933333333333	0	0
Unigene350430	0	0.627633333333333	0	0
Unigene1087330	0	0	0	4.25806666666667
Unigene588441	0	0	10.4124333333333	0
Unigene125390	0.501466666666667	0.012	0	0.1298
Unigene1151992	0	0	0.0410666666666667	1.2866
Unigene1369286	0	0	0	2.70156666666667
Unigene1093762	0	0	0	2.5974
Unigene581456	0	0.00476666666666667	6.22916666666667	0
Unigene599837	0	0	0.5474	0
Unigene973891	0	0	0.123133333333333	18.2707
Unigene1256067	0	0	0	2.81696666666667
Unigene1009376	0	0	0	2.79843333333333
Unigene1229450	0	0	0	2.67683333333333
Unigene411472	0.129266666666667	0.358166666666667	0	0
Unigene77156	0.878366666666667	1.2832	0	0
Unigene1232689	0	0	0	2.59323333333333
Unigene105952	0.331033333333333	0.0240666666666667	0	0.0382333333333333
Unigene942639	0	0	0	21.6648
Unigene1288933	1.90156666666667	0.5011	2.54673333333333	9.3857
Unigene68913	0.788933333333333	0.648833333333333	0.0524666666666667	0.7991
Unigene922465	0	0	0	9.43593333333333
Unigene334761	0.0161666666666667	0.777266666666667	0	0.0344666666666667
Unigene923378	0	0	0.0535	2.48176666666667
Unigene39866	2.14063333333333	3.90856666666667	32.5012333333333	0.3076
Unigene1055445	0	0	0	8.73493333333333
Unigene1114170	0	0	0	2.41073333333333
Unigene879478	0	0	0	3.81906666666667
Unigene181458	0.00393333333333333	0.5523	0	0
Unigene1350473	0	0	0	1.17296666666667
Unigene1286443	0	0	0	11.7691333333333
Unigene325304	0.0149	0.2648	0	0
Unigene554098	0	0.430166666666667	0.2413	0
Unigene354192	0.00823333333333333	0.240033333333333	0	0
Unigene252714	0	3.97076666666667	0	0
Unigene53887	7.83956666666667	1.4332	0.00906666666666667	1.01593333333333
Unigene250767	0.0165	1.0011	0	0
Unigene6315	14.4743666666667	39.1158333333333	22.8921666666667	0.7274
Unigene1002919	0	0	0	3.10333333333333
Unigene961064	0	0	0.0834333333333333	3.9171
Unigene642816	0	0	2.8166	0
Unigene1014451	0	0	0	9.38886666666667
Unigene1080505	0	0.0262	0	1.07706666666667
Unigene960118	0	0.00506666666666667	0.106533333333333	12.5466
Unigene1041998	0	0	0	3.34713333333333
Unigene362193	0.0263	0.277233333333333	0.0774666666666667	0
Unigene326677	0	1.5314	0	0
Unigene1030415	0	0	0	14.9447333333333
Unigene1017398	0	0	0	13.6272666666667
Unigene1121383	0	0	0	5.06113333333333
Unigene136084	1.0316	0	0	0
Unigene1016207	0	0	0	3.66313333333333
Unigene998768	0	0	0	18.575
Unigene397250	0.0577333333333333	0.713666666666667	0.3164	0
Unigene1140977	0	0	0	2.55316666666667
Unigene273613	0	5.0041	0	0
Unigene116097	0.4161	0.7133	0	0
Unigene471531	0	0.241566666666667	0.0187	0
Unigene987853	0.00566666666666667	0.0044	0	6.03813333333333
Unigene314181	0	5.6009	0	0
Unigene311607	0.0931666666666667	0.603733333333333	0.510233333333333	0.286233333333333
Unigene218338	0	1.60413333333333	0	0
Unigene231862	0.124666666666667	0.816466666666667	0.3868	0.2493
Unigene782839	0	0	9.36536666666667	0
Unigene615681	6.5824	1.4364	14.1880333333333	10.0148
Unigene1245134	0	0.0067	0	1.83063333333333
Unigene1144475	0	0	0	11.1641666666667
Unigene63015	1.44663333333333	1.38746666666667	1.4811	0.0491666666666667
Unigene12276	11.6077666666667	10.4825	0	0.1097
Unigene1051245	0	1.14183333333333	0	4.3561
Unigene1023429	0	0	0.0377333333333333	4.69726666666667
Unigene989605	0	0	0	5.24673333333333
Unigene231735	0	1.10293333333333	0	0
Unigene381913	0.0819333333333333	0.267233333333333	0	0
Unigene179165	0.0337666666666667	0.384	0.101866666666667	0.00803333333333333
Unigene406712	0.0479333333333333	1.87116666666667	0.0321	0.0149666666666667
Unigene31419	9.36596666666667	1.74823333333333	10.6312	14.2429666666667
Unigene21513	0.6142	0.6422	7.98593333333333	1.13183333333333
Unigene591270	2.59556666666667	5.70196666666667	48.1106666666667	0.3233
Unigene609079	0.0661333333333333	0.0045	172.6603	0
Unigene1066089	0	0.0157333333333333	0	4.74523333333333
Unigene1192177	0	0	0.0191	0.9262
Unigene726311	0.191733333333333	0	2.07103333333333	11.8140666666667
Unigene1045512	0	0	0	3.77276666666667
Unigene1218807	0	0	0	1.0172
Unigene960910	0	0.0294333333333333	0.0288	27.4525
Unigene368947	0	38.3908333333333	0.778166666666667	3.11596666666667
Unigene895448	0	0.0106333333333333	0	4.23833333333333
Unigene167659	0.206166666666667	0.0476333333333333	0	0.1858
Unigene989692	0	0	0	2.1469
Unigene1044481	0	0	0	10.6875666666667
Unigene1136866	0	0.0292333333333333	0.802566666666667	5.64206666666667
Unigene95845	8.2465	1.25366666666667	10.4691333333333	12.7568
Unigene155468	0.292666666666667	0.3717	0	0
Unigene1022523	0	0	0	3.73103333333333
Unigene159940	0.2427	0.0358	0	0
Unigene364265	0.0094	0.2595	0	0
Unigene10078	14.1035333333333	46.6634	28.2631333333333	0.718833333333333
Unigene880287	0	0	0	1.6633
Unigene48948	2.81686666666667	0.782466666666667	0	0.0482666666666667
Unigene213242	0	0.409866666666667	0	0
Unigene603821	0.135433333333333	0	146.169	0
Unigene1011327	0	0	0	1.73826666666667
Unigene5241	0.9586	1.45273333333333	0	0
Unigene1304409	0	0.00456666666666667	0.00776666666666667	1.77826666666667
Unigene175116	0.180133333333333	0.00456666666666667	0.035	0.5364
Unigene1080902	0	0	0	22.7659333333333
Unigene384994	0.0329333333333333	0.356066666666667	0.0195666666666667	0.0189666666666667
Unigene649001	0	0	2.75883333333333	0
Unigene53541	0.625266666666667	0.8489	0	1.33906666666667
Unigene542153	0	0.313766666666667	0.2466	0
Unigene231156	0	2.6713	0.0075	0
Unigene231815	0	1.3178	0	0
